Sampling Period,Municipality,Land use,Heavy metal,Heavy metal concentration (mg/kg DM),Remarks,Year,Sampling date
1990-1994,Scuol,Coniferous forest,chromium,47.2,-,1993,30.06.1993
1990-1994,Glarus Süd,Grassland,chromium,33.7,-,1994,03.08.1994
2000-2004,Entlebuch,Grassland,chromium,16,-,2003,15.04.2003
2005-2009,Zernez,Protected sites,chromium,5.1,-,2008,22.08.2008
1995-1999,Wald (ZH),Coniferous forest,chromium,43.3,-,1998,28.08.1998
1995-1999,Scuol,Coniferous forest,chromium,45.8,-,1998,17.07.1998
1985-1989,Roggwil (TG),Special crops,chromium,20.6,-,1986,10.06.1986
1995-1999,Orbe,Deciduous forest,chromium,14.2,-,1999,31.03.1999
1990-1994,Ernen,Grassland,chromium,20.2,-,1994,19.10.1994
2005-2009,Coldrerio,Crop cultivation,chromium,32.1,-,2008,12.02.2008
2000-2004,Coldrerio,Crop cultivation,chromium,32.1,-,2003,13.05.2003
2000-2004,Grindelwald,Grassland,chromium,6.4,-,2004,07.07.2004
2010-2014,Roggwil (TG),Special crops,chromium,27.2,-,2011,24.03.2011
2010-2014,Mörschwil,Grassland,cobalt,6.2,-,2013,18.03.2013
1990-1994,Val-de-Ruz,Crop cultivation,cobalt,5.5,-,1991,04.06.1991
2000-2004,Neuchâtel,Grassland,cobalt,9.1,-,2010,21.04.2010
2005-2009,Neuchâtel,Grassland,cobalt,9.2,-,2015,14.04.2015
2005-2009,Wald (ZH),Coniferous forest,cobalt,8,-,2008,28.05.2008
2005-2009,Montanaire,Mixed forest,cobalt,4.5,-,2009,01.04.2009
1990-1994,Mörschwil,Grassland,cobalt,6,-,1993,03.08.1993
1985-1989,Gsteig,Coniferous forest,cobalt,4.1,-,1988,24.08.1988
2000-2004,Küssnacht (SZ),Grassland,cobalt,5.4,-,2010,15.04.2010
1995-1999,Vallon,Crop cultivation,cobalt,12.5,-,1997,23.09.1997
1990-1994,Vallon,Crop cultivation,cobalt,12.3,-,1992,19.10.1992
2000-2004,Saint-Martin (VS),Grassland,cobalt,7,-,2004,08.07.2004
1995-1999,Montanaire,Mixed forest,cobalt,3.5,-,1999,31.03.1999
2015-2019,Val-de-Ruz,Crop cultivation,cobalt,5.2,-,2016,15.03.2016
1990-1994,Scuol,Coniferous forest,cobalt,8.1,-,1993,30.06.1993
1985-1989,Val-de-Ruz,Crop cultivation,cobalt,5.6,-,1986,10.09.1986
2015-2019,Ins,Crop cultivation,cobalt,5.4,-,2015,17.03.2015
2000-2004,Gsteig,Coniferous forest,cobalt,4.3,-,2003,11.09.2003
1990-1994,Montanaire,Mixed forest,cobalt,4.1,-,1994,20.09.1994
1990-1994,Aadorf,Grassland,cobalt,6.9,-,1994,13.09.1994
2015-2019,Aadorf,Grassland,cobalt,8.4,-,2019,20.03.2019
2000-2004,Köniz,Crop cultivation,cobalt,4.8,-,2001,15.08.2001
2005-2009,La Neuveville,Special crops,cobalt,5.2,-,2005,26.04.2005
2005-2009,Gais,Grassland,cobalt,3.6,-,2009,23.04.2009
1990-1994,Winterthur,Urban park,cobalt,6.5,-,1993,23.06.1993
2000-2004,Val-de-Ruz,Crop cultivation,cobalt,5.6,-,2001,06.09.2001
2015-2019,Etoy,Crop cultivation,cobalt,8.5,-,2017,14.02.2017
2015-2019,Koppigen,Crop cultivation,cobalt,4.3,-,2016,21.03.2016
1985-1989,La Neuveville,Special crops,cobalt,6.1,-,1985,06.08.1985
2005-2009,Rothenfluh,Deciduous forest,cobalt,11.4,-,2009,29.04.2009
2005-2009,Attalens,Grassland,cobalt,8,-,2008,12.03.2008
2015-2019,Roggwil (TG),Special crops,cobalt,5.6,-,2016,20.04.2016
1995-1999,Gempen,Crop cultivation,cobalt,9.6,-,1998,25.02.1998
1995-1999,Glarus Süd,Grassland,cobalt,7,-,1999,03.08.1999
2000-2004,Rothenfluh,Deciduous forest,cobalt,11.6,-,2004,19.08.2004
2000-2004,Etoy,Crop cultivation,cobalt,8.1,-,2003,13.03.2003
2015-2019,Attalens,Grassland,cobalt,7.2,-,2020,04.03.2020
1990-1994,Haute-Ajoie,Crop cultivation,cobalt,10.4,-,1993,17.08.1993
1990-1994,Koppigen,Crop cultivation,cobalt,5.3,-,1991,03.04.1991
2005-2009,Aadorf,Grassland,cobalt,7.7,-,2009,18.03.2009
1995-1999,Winterthur,Urban park,cobalt,6,-,1998,26.02.1998
1990-1994,Attalens,Grassland,cobalt,8.3,-,1993,03.11.1993
1990-1994,Marthalen,Deciduous forest,cobalt,4.3,-,1993,01.09.1993
2010-2014,Etoy,Crop cultivation,cobalt,8.1,-,2013,05.03.2013
2000-2004,Attalens,Grassland,cobalt,8,-,2003,23.04.2003
1995-1999,Kiesen,Crop cultivation,cobalt,6.8,-,1997,23.09.1997
1995-1999,Attalens,Grassland,cobalt,8.1,-,1998,04.03.1998
2010-2014,Attalens,Grassland,cobalt,8.1,-,2013,03.04.2013
1995-1999,Mörschwil,Grassland,cobalt,6.1,-,1998,31.03.1998
2015-2019,Wiedlisbach,Crop cultivation,cobalt,4.3,-,2015,16.04.2015
2005-2009,Kiesen,Crop cultivation,cobalt,6.6,-,2007,20.03.2007
2000-2004,Mörschwil,Grassland,cobalt,6.2,-,2003,28.05.2003
2000-2004,Aristau,Protected sites,cobalt,8.2,-,2004,23.09.2004
2000-2004,Scuol,Coniferous forest,cobalt,8.3,-,2003,24.09.2003
2010-2014,Koppigen,Crop cultivation,cobalt,5.3,-,2011,17.03.2011
2010-2014,Ins,Crop cultivation,cobalt,5.4,-,2010,23.03.2010
2005-2009,Coldrerio,Crop cultivation,cobalt,8.8,-,2008,12.02.2008
2005-2009,Buchegg,Grassland,cobalt,6.2,-,2009,13.03.2009
2000-2004,Novaggio,Deciduous forest,cobalt,4.1,-,2003,14.05.2003
2015-2019,Coldrerio,Crop cultivation,cobalt,9.5,-,2018,12.02.2018
1995-1999,Oensingen,Crop cultivation,cobalt,8.4,-,1998,06.01.1998
1995-1999,Coldrerio,Crop cultivation,cobalt,8.7,-,1998,17.03.1998
1985-1989,Santa Maria in Calanca,Coniferous forest,cobalt,3.7,-,1988,09.11.1988
1985-1989,Coldrerio,Crop cultivation,cobalt,8.7,-,1988,14.12.1988
1995-1999,Glarus Nord,Grassland,cobalt,10.8,-,1996,17.04.1996
1990-1994,Orbe,Deciduous forest,cobalt,3.1,-,1994,27.09.1994
1995-1999,Saint-Martin (VS),Grassland,cobalt,6.4,-,1999,20.07.1999
2000-2004,Koppigen,Crop cultivation,cobalt,5.2,-,2001,09.10.2001
2005-2009,Oensingen,Crop cultivation,cobalt,8.7,-,2008,21.02.2008
2005-2009,Vallon,Crop cultivation,cobalt,12.4,-,2007,24.09.2007
1985-1989,Novaggio,Deciduous forest,cobalt,5.6,-,1988,11.11.1988
2000-2004,Niederlenz,Deciduous forest,cobalt,3.2,-,2004,05.10.2004
2010-2014,Sant'Antonino,Special crops,cobalt,11.1,-,2013,29.01.2013
1995-1999,Realp,Grassland,cobalt,1.2,-,1999,07.07.1999
2005-2009,Novaggio,Deciduous forest,cobalt,4.2,-,2008,15.05.2008
1990-1994,Schleitheim,Crop cultivation,cobalt,23.5,-,1991,27.03.1991
1990-1994,Nesslau,Grassland,cobalt,4.7,-,1994,31.08.1994
1985-1989,Birwinken,Crop cultivation,cobalt,6.8,-,1988,26.10.1988
1995-1999,Haute-Ajoie,Crop cultivation,cobalt,10.4,-,1998,21.10.1998
1990-1994,Duggingen,Grassland,cobalt,5.2,-,1993,28.04.1993
2005-2009,Le Cerneux-Péquignot,Grassland,cobalt,6.7,-,2009,07.05.2009
1990-1994,Etoy,Crop cultivation,cobalt,7.4,-,1993,03.11.1993
1995-1999,Lugano,Urban park,cobalt,12.7,-,1999,24.03.1999
1985-1989,Domleschg,Crop cultivation,cobalt,13.6,-,1988,11.08.1988
2010-2014,Birwinken,Crop cultivation,cobalt,6.6,-,2013,06.03.2013
1995-1999,Pailly,Crop cultivation,cobalt,6.3,-,1998,20.10.1998
2005-2009,Pailly,Crop cultivation,cobalt,6.1,-,2008,13.03.2008
2015-2019,Landquart,Crop cultivation,cobalt,9.5,-,2017,22.02.2017
1985-1989,Köniz,Crop cultivation,cobalt,4.8,-,1986,01.07.1986
2000-2004,La Neuveville,Special crops,cobalt,5.9,-,2000,12.07.2000
1995-1999,Orbe,Deciduous forest,cobalt,2.9,-,1999,31.03.1999
1985-1989,Winterthur,Urban park,cobalt,6.2,-,1988,21.06.1988
1990-1994,Pailly,Crop cultivation,cobalt,5.6,-,1993,27.10.1993
1995-1999,Novaggio,Deciduous forest,cobalt,5.2,-,1998,27.08.1998
2005-2009,Roggwil (TG),Special crops,cobalt,6,-,2006,11.07.2006
1995-1999,Wiedlisbach,Crop cultivation,cobalt,4.2,-,1995,01.03.1995
1985-1989,Kiesen,Crop cultivation,cobalt,6.6,-,1987,22.06.1987
2010-2014,Leuggern,Crop cultivation,cobalt,4.8,-,2011,23.02.2011
2005-2009,Marthalen,Deciduous forest,cobalt,4.2,-,2008,10.04.2008
2015-2019,Mörschwil,Grassland,cobalt,6,-,2018,14.03.2018
2005-2009,Ernen,Grassland,cobalt,7.3,-,2009,24.04.2009
2000-2004,Aadorf,Grassland,cobalt,7.8,-,2004,15.04.2004
1985-1989,Vallon,Crop cultivation,cobalt,12.2,-,1987,28.08.1987
2005-2009,Mörschwil,Grassland,cobalt,6,-,2008,13.02.2008
2000-2004,Lugano,Urban park,cobalt,12.7,-,2004,03.03.2004
2005-2009,Gsteig,Coniferous forest,cobalt,4.8,-,2008,07.08.2008
2015-2019,Lugano,Urban park,cobalt,10.6,-,2019,14.02.2019
1995-1999,Conthey,Special crops,cobalt,7.2,-,1995,26.09.1995
1995-1999,Le Cerneux-Péquignot,Grassland,cobalt,6.6,-,1999,23.06.1999
2005-2009,Hochdorf,Grassland,cobalt,5.9,-,2006,23.03.2006
1985-1989,Conthey,Special crops,cobalt,7,-,1985,31.07.1985
1995-1999,Nyon,Special crops,cobalt,10.7,-,1998,16.04.1998
2015-2019,La Neuveville,Special crops,cobalt,6,-,2015,15.04.2015
2005-2009,Haute-Ajoie,Crop cultivation,cobalt,11,-,2008,27.02.2008
2005-2009,Landquart,Crop cultivation,cobalt,9.7,-,2008,13.02.2008
2000-2004,Coldrerio,Crop cultivation,cobalt,8.9,-,2003,13.05.2003
2010-2014,Coldrerio,Crop cultivation,cobalt,8.6,-,2013,29.01.2013
2000-2004,Glarus Süd,Grassland,cobalt,6.6,-,2004,17.06.2004
2015-2019,Haute-Ajoie,Crop cultivation,cobalt,13,-,2018,27.03.2018
1995-1999,Buchegg,Grassland,cobalt,6.1,-,1999,08.03.1999
1995-1999,Payerne,Grassland,cobalt,4.7,-,1995,12.04.1995
1990-1994,Glarus Nord,Grassland,cobalt,11,-,1991,26.03.1991
2015-2019,Duggingen,Grassland,cobalt,6,-,2017,21.03.2017
2000-2004,Sant'Antonino,Special crops,cobalt,11.1,-,2003,13.05.2003
1985-1989,Scuol,Coniferous forest,cobalt,8.6,-,1988,10.08.1988
1985-1989,Sant'Antonino,Special crops,cobalt,11.3,-,1988,13.12.1988
1995-1999,Aristau,Protected sites,cobalt,7.6,-,1999,06.01.1999
1995-1999,Scuol,Coniferous forest,cobalt,8.1,-,1998,17.07.1998
1990-1994,Rifferswil,Protected sites,cobalt,0.4,-,1993,08.09.1993
1990-1994,Ependes (VD),Grassland,cobalt,5,-,1994,27.09.1994
1995-1999,Marthalen,Deciduous forest,cobalt,4.3,-,1998,30.06.1998
1995-1999,Koppigen,Crop cultivation,cobalt,5.3,-,1996,28.02.1996
2015-2019,Gais,Grassland,cobalt,2.9,-,2019,01.05.2019
1995-1999,Ernen,Grassland,cobalt,7.1,-,1999,07.07.1999
2005-2009,Davos,Coniferous forest,cobalt,1.2,-,2009,24.06.2009
2010-2014,Lugano,Urban park,cobalt,11.8,-,2014,27.02.2014
2010-2014,Pailly,Crop cultivation,cobalt,5.9,-,2013,02.04.2013
1990-1994,Langenthal,Mixed forest,cobalt,4.2,-,1994,25.05.1994
1990-1994,Rothenfluh,Deciduous forest,cobalt,11.4,-,1994,28.09.1994
2005-2009,Visp,Coniferous forest,cobalt,11.5,-,2009,02.04.2009
1995-1999,Gais,Grassland,cobalt,3.6,-,1999,27.07.1999
1985-1989,Payerne,Grassland,cobalt,4.8,-,1985,16.10.1985
2010-2014,Domleschg,Crop cultivation,cobalt,12.2,-,2013,09.04.2013
1990-1994,Le Cerneux-Péquignot,Grassland,cobalt,6.1,-,1994,09.11.1994
1990-1994,Novaggio,Deciduous forest,cobalt,5.2,-,1993,22.09.1993
2015-2019,Le Cerneux-Péquignot,Grassland,cobalt,6.5,-,2019,26.03.2019
2005-2009,Val-de-Ruz,Crop cultivation,cobalt,5.6,-,2006,14.09.2006
2010-2014,Roggwil (TG),Special crops,cobalt,6,-,2011,24.03.2011
1995-1999,Santa Maria in Calanca,Coniferous forest,cobalt,3.4,-,1998,17.03.1998
1990-1994,Domleschg,Crop cultivation,cobalt,12.9,-,1993,04.08.1993
1990-1994,Sant'Antonino,Special crops,cobalt,11.2,-,1993,22.09.1993
2010-2014,Duggingen,Grassland,cobalt,6.1,-,2013,26.06.2013
2005-2009,Koppigen,Crop cultivation,cobalt,5.1,-,2006,09.08.2006
2005-2009,Duggingen,Grassland,cobalt,5.7,-,2008,07.05.2008
1985-1989,Realp,Grassland,cobalt,1.6,-,1989,19.09.1989
1985-1989,Schleitheim,Crop cultivation,cobalt,23,-,1986,13.08.1986
1985-1989,Buchegg,Grassland,cobalt,5.6,-,1989,04.04.1989
2000-2004,Payerne,Grassland,cobalt,4.7,-,2000,04.04.2000
2010-2014,Payerne,Grassland,cobalt,4.7,-,2010,04.03.2010
2000-2004,Santa Maria in Calanca,Coniferous forest,cobalt,3.2,-,2003,17.09.2003
1985-1989,Ins,Crop cultivation,cobalt,4.4,-,1985,31.10.1985
2000-2004,Dällikon,Special crops,cobalt,5.4,-,2003,24.06.2003
1985-1989,La Sarraz,Crop cultivation,cobalt,8,-,1985,17.09.1985
2005-2009,Avully,Crop cultivation,cobalt,4.4,-,2006,15.03.2006
1995-1999,Domleschg,Crop cultivation,cobalt,12.7,-,1998,13.05.1998
1985-1989,Dällikon,Special crops,cobalt,5.9,-,1988,07.06.1988
2000-2004,Realp,Grassland,cobalt,1.1,-,2004,07.07.2004
2000-2004,Duggingen,Grassland,cobalt,5.3,-,2003,17.04.2003
1990-1994,Realp,Grassland,cobalt,1.4,-,1994,27.07.1994
1985-1989,Oensingen,Crop cultivation,cobalt,8.5,-,1988,27.06.1988
1985-1989,Le Cerneux-Péquignot,Grassland,cobalt,6.6,-,1989,11.04.1989
2010-2014,Le Cerneux-Péquignot,Grassland,cobalt,7,-,2014,19.03.2014
2005-2009,Ins,Crop cultivation,cobalt,5.2,-,2005,16.08.2005
1990-1994,Dällikon,Special crops,cobalt,5.7,-,1993,23.06.1993
1995-1999,La Neuveville,Special crops,cobalt,5.1,-,1995,22.03.1995
2015-2019,Domleschg,Crop cultivation,cobalt,11,-,2017,06.03.2017
2010-2014,Val-de-Ruz,Crop cultivation,cobalt,5.7,-,2011,16.03.2011
2005-2009,Aristau,Protected sites,cobalt,7.8,-,2009,19.03.2009
2000-2004,Domleschg,Crop cultivation,cobalt,12.6,-,2003,07.07.2003
1990-1994,Möhlin,Crop cultivation,cobalt,5.6,-,1991,27.03.1991
1990-1994,Oensingen,Crop cultivation,cobalt,8.6,-,1993,07.07.1993
2000-2004,Oensingen,Crop cultivation,cobalt,8.6,-,2003,19.03.2003
1990-1994,La Neuveville,Special crops,cobalt,5.8,-,1990,06.03.1990
1990-1994,Buchegg,Grassland,cobalt,6.3,-,1994,17.08.1994
1995-1999,Dällikon,Special crops,cobalt,5.7,-,1998,26.02.1998
1985-1989,Marthalen,Deciduous forest,cobalt,4.2,-,1988,16.11.1988
2005-2009,Realp,Grassland,cobalt,1.3,-,2009,01.07.2009
1990-1994,Wiedlisbach,Crop cultivation,cobalt,4.2,-,1990,20.02.1990
1990-1994,Hendschiken,Crop cultivation,cadmium,0.21,-,1992,20.10.1992
1990-1994,Avully,Crop cultivation,cadmium,0.18,-,1991,06.08.1991
1990-1994,Cornol,Crop cultivation,cadmium,0.19,-,1993,17.08.1993
1985-1989,Pailly,Crop cultivation,cadmium,0.15,-,1988,16.08.1988
2005-2009,Domleschg,Crop cultivation,cadmium,0.41,-,2008,19.03.2008
2000-2004,Domleschg,Crop cultivation,cadmium,0.38,-,2003,07.07.2003
2000-2004,Härkingen,Crop cultivation,cadmium,0.27,-,2010,18.03.2010
2015-2019,Domleschg,Crop cultivation,cadmium,0.44,-,2017,06.03.2017
1995-1999,Avully,Crop cultivation,cadmium,0.19,-,1996,10.04.1996
1985-1989,Avully,Crop cultivation,cadmium,0.17,-,1986,14.08.1986
2000-2004,Hendschiken,Crop cultivation,cadmium,0.18,-,2002,07.05.2002
1995-1999,Hendschiken,Crop cultivation,cadmium,0.21,-,1997,24.09.1997
2010-2014,Hendschiken,Crop cultivation,cadmium,0.2,-,2012,22.03.2012
1995-1999,Haute-Ajoie,Crop cultivation,cadmium,0.29,-,1998,21.10.1998
1985-1989,Birwinken,Crop cultivation,cadmium,0.24,-,1988,26.10.1988
1995-1999,Kiesen,Crop cultivation,cadmium,0.29,-,1997,23.09.1997
1985-1989,Kiesen,Crop cultivation,cadmium,0.32,-,1987,22.06.1987
2005-2009,Hendschiken,Crop cultivation,cadmium,0.18,-,2007,21.03.2007
2015-2019,Hendschiken,Crop cultivation,cadmium,0.18,-,2017,16.03.2017
2005-2009,Coldrerio,Crop cultivation,cadmium,0.27,-,2008,12.02.2008
2010-2014,Coldrerio,Crop cultivation,cadmium,0.3,-,2013,29.01.2013
1990-1994,Kiesen,Crop cultivation,cadmium,0.31,-,1992,19.10.1992
2010-2014,Pailly,Crop cultivation,cadmium,0.16,-,2013,02.04.2013
1995-1999,Pailly,Crop cultivation,cadmium,0.14,-,1998,20.10.1998
2005-2009,Eschenbach (LU),Crop cultivation,cadmium,0.4,-,2006,23.03.2006
1995-1999,Härkingen,Crop cultivation,cadmium,0.27,-,2005,12.04.2005
2000-2004,La Sarraz,Crop cultivation,cadmium,0.26,-,2000,04.04.2000
1995-1999,Coldrerio,Crop cultivation,cadmium,0.27,-,1998,17.03.1998
1985-1989,La Sarraz,Crop cultivation,cadmium,0.23,-,1985,17.09.1985
1985-1989,Domleschg,Crop cultivation,cadmium,0.4,-,1988,11.08.1988
2000-2004,Coldrerio,Crop cultivation,cadmium,0.28,-,2003,13.05.2003
1990-1994,Montanaire,Mixed forest,cadmium,0.07,-,1994,20.09.1994
1995-1999,Domleschg,Crop cultivation,cadmium,0.38,-,1998,13.05.1998
2015-2019,Coldrerio,Crop cultivation,cadmium,0.31,-,2018,12.02.2018
2005-2009,Pailly,Crop cultivation,cadmium,0.18,-,2008,13.03.2008
2005-2009,Kiesen,Crop cultivation,cadmium,0.29,-,2007,20.03.2007
1990-1994,Domleschg,Crop cultivation,cadmium,0.4,-,1993,04.08.1993
2010-2014,Domleschg,Crop cultivation,cadmium,0.43,-,2013,09.04.2013
1990-1994,Haute-Ajoie,Crop cultivation,cadmium,0.3,-,1993,17.08.1993
2000-2004,Haute-Ajoie,Crop cultivation,cadmium,0.28,-,2003,30.10.2003
2005-2009,Haute-Ajoie,Crop cultivation,cadmium,0.3,-,2008,27.02.2008
1990-1994,Ins,Crop cultivation,cadmium,0.37,-,1990,06.03.1990
2000-2004,Gempen,Crop cultivation,cadmium,0.93,-,2003,17.04.2003
2005-2009,Ins,Crop cultivation,cadmium,0.35,-,2005,16.08.2005
1995-1999,Ins,Crop cultivation,cadmium,0.36,-,1995,22.03.1995
1985-1989,Oensingen,Crop cultivation,cadmium,0.33,-,1988,27.06.1988
2010-2014,Haute-Ajoie,Crop cultivation,cadmium,0.3,-,2013,15.04.2013
1990-1994,Oensingen,Crop cultivation,cadmium,0.35,-,1993,07.07.1993
2000-2004,Binningen,Crop cultivation,cadmium,0.26,-,2000,21.03.2000
1995-1999,Binningen,Crop cultivation,cadmium,0.25,-,1995,01.03.1995
1990-1994,Binningen,Crop cultivation,cadmium,0.24,-,1990,20.02.1990
2000-2004,Kiesen,Crop cultivation,cadmium,0.29,-,2002,15.08.2002
1990-1994,Niedermuhlern,Crop cultivation,cadmium,0.18,-,1991,03.04.1991
1995-1999,Oensingen,Crop cultivation,cadmium,0.34,-,1998,06.01.1998
2005-2009,Oensingen,Crop cultivation,cadmium,0.33,-,2008,21.02.2008
2015-2019,Binningen,Crop cultivation,cadmium,0.23,-,2015,09.04.2015
2000-2004,Oensingen,Crop cultivation,cadmium,0.36,-,2003,19.03.2003
2010-2014,Vallon,Crop cultivation,cadmium,0.3,-,2012,20.03.2012
2000-2004,Koppigen,Crop cultivation,cadmium,0.19,-,2001,09.10.2001
2010-2014,Val-de-Ruz,Crop cultivation,cadmium,0.26,-,2011,16.03.2011
2015-2019,Vallon,Crop cultivation,cadmium,0.3,-,2017,15.02.2017
2015-2019,Val-de-Ruz,Crop cultivation,cadmium,0.22,-,2016,15.03.2016
2015-2019,Haute-Ajoie,Crop cultivation,cadmium,0.37,-,2018,27.03.2018
2015-2019,Koppigen,Crop cultivation,cadmium,0.19,-,2016,21.03.2016
1985-1989,Haute-Ajoie,Crop cultivation,cadmium,0.3,-,1988,23.08.1988
2005-2009,Val-de-Ruz,Crop cultivation,cadmium,0.25,-,2006,14.09.2006
1990-1994,Val-de-Ruz,Crop cultivation,cadmium,0.25,-,1991,04.06.1991
2000-2004,Ins,Crop cultivation,cadmium,0.34,-,2000,05.06.2000
2015-2019,Ins,Crop cultivation,cadmium,0.38,-,2015,17.03.2015
1990-1994,Vallon,Crop cultivation,cadmium,0.39,-,1992,19.10.1992
2010-2014,Ins,Crop cultivation,cadmium,0.34,-,2010,23.03.2010
1985-1989,Ins,Crop cultivation,cadmium,0.39,-,1985,31.10.1985
1985-1989,Koppigen,Crop cultivation,cadmium,0.15,-,1986,30.10.1986
2010-2014,Koppigen,Crop cultivation,cadmium,0.24,-,2011,17.03.2011
1990-1994,Koppigen,Crop cultivation,cadmium,0.16,-,1991,03.04.1991
1995-1999,Koppigen,Crop cultivation,cadmium,0.17,-,1996,28.02.1996
1995-1999,Rothenfluh,Deciduous forest,cadmium,1.01,-,1999,07.01.1999
2000-2004,Rothenfluh,Deciduous forest,cadmium,1.03,-,2004,19.08.2004
1995-1999,Marthalen,Deciduous forest,cadmium,0.12,-,1998,30.06.1998
1985-1989,Marthalen,Deciduous forest,cadmium,0.11,-,1988,16.11.1988
1990-1994,Marthalen,Deciduous forest,cadmium,0.11,-,1993,01.09.1993
2000-2004,Novaggio,Deciduous forest,cadmium,0.32,-,2003,14.05.2003
1985-1989,Niederlenz,Deciduous forest,cadmium,0.29,-,1989,26.04.1989
1985-1989,Novaggio,Deciduous forest,cadmium,0.44,-,1988,11.11.1988
1985-1989,Rothenfluh,Deciduous forest,cadmium,1.01,-,1989,31.05.1989
1990-1994,Novaggio,Deciduous forest,cadmium,0.41,-,1993,22.09.1993
2000-2004,Winterthur,Urban park,cadmium,0.21,-,2003,24.04.2003
1990-1994,Jussy,Deciduous forest,cadmium,0.17,-,1994,05.07.1994
1990-1994,Clos du Doubs,Deciduous forest,cadmium,1.06,-,1993,17.08.1993
1995-1999,Bettlach,Deciduous forest,cadmium,0.31,-,1998,08.01.1998
1985-1989,Clos du Doubs,Deciduous forest,cadmium,1.09,-,1988,07.07.1988
1995-1999,Clos du Doubs,Deciduous forest,cadmium,1.06,-,1998,21.10.1998
2000-2004,Clos du Doubs,Deciduous forest,cadmium,1.08,-,2003,10.09.2003
2005-2009,Clos du Doubs,Deciduous forest,cadmium,1.03,-,2008,08.05.2008
1995-1999,Orbe,Deciduous forest,cadmium,0.1,-,1999,31.03.1999
1990-1994,Aristau,Protected sites,cadmium,0.27,-,1994,22.03.1994
2005-2009,Aristau,Protected sites,cadmium,0.28,-,2009,19.03.2009
1995-1999,Sant'Antonino,Special crops,cadmium,0.22,-,1998,17.03.1998
2005-2009,Zernez,Protected sites,cadmium,0.23,-,2008,22.08.2008
2000-2004,Rifferswil,Protected sites,cadmium,0.51,-,2003,16.06.2003
2000-2004,Aristau,Protected sites,cadmium,0.28,-,2004,23.09.2004
2005-2009,St. Moritz,Protected sites,cadmium,0.53,-,2008,21.08.2008
1995-1999,Aristau,Protected sites,cadmium,0.32,-,1999,06.01.1999
2005-2009,Sant'Antonino,Special crops,cadmium,0.24,-,2008,12.02.2008
1985-1989,Aristau,Protected sites,cadmium,0.29,-,1989,03.05.1989
1985-1989,St. Moritz,Protected sites,cadmium,0.39,-,1988,08.11.1988
1995-1999,St. Moritz,Protected sites,cadmium,0.29,-,1998,16.07.1998
1990-1994,Rifferswil,Protected sites,cadmium,0.66,-,1993,08.09.1993
1995-1999,Novaggio,Deciduous forest,cadmium,0.47,-,1998,27.08.1998
2005-2009,Novaggio,Deciduous forest,cadmium,0.35,-,2008,15.05.2008
2005-2009,Rifferswil,Protected sites,cadmium,0.47,-,2008,26.06.2008
1995-1999,Rifferswil,Protected sites,cadmium,0.72,-,1998,28.08.1998
1990-1994,St. Moritz,Protected sites,cadmium,0.3,-,1993,11.11.1993
2000-2004,St. Moritz,Protected sites,cadmium,0.51,-,2003,03.09.2003
1995-1999,Lützelflüh,Crop cultivation,cadmium,0.19,-,1998,05.01.1998
1985-1989,Lützelflüh,Crop cultivation,cadmium,0.2,-,1988,24.10.1988
1990-1994,Pailly,Crop cultivation,cadmium,0.14,-,1993,27.10.1993
2015-2019,Lützelflüh,Crop cultivation,cadmium,0.21,-,2017,15.03.2017
2005-2009,La Sarraz,Crop cultivation,cadmium,0.24,-,2005,31.05.2005
1985-1989,Hendschiken,Crop cultivation,cadmium,0.23,-,1987,04.08.1987
2010-2014,Cornol,Crop cultivation,cadmium,0.11,-,2013,15.04.2013
1985-1989,Cornol,Crop cultivation,cadmium,0.19,-,1988,07.07.1988
2015-2019,Pailly,Crop cultivation,cadmium,0.13,-,2017,14.03.2017
2000-2004,Pailly,Crop cultivation,cadmium,0.17,-,2003,05.08.2003
1985-1989,Eschenbach (LU),Crop cultivation,cadmium,0.36,-,1986,03.09.1986
2005-2009,Dübendorf,Crop cultivation,cadmium,0.29,-,2005,07.07.2005
1990-1994,Eschenbach (LU),Crop cultivation,cadmium,0.36,-,1991,26.03.1991
1995-1999,Eschenbach (LU),Crop cultivation,cadmium,0.38,-,1996,06.03.1996
2010-2014,Eschenbach (LU),Crop cultivation,cadmium,0.39,-,2011,23.03.2011
2010-2014,Lützelflüh,Crop cultivation,cadmium,0.2,-,2013,15.04.2013
2005-2009,Lützelflüh,Crop cultivation,cadmium,0.21,-,2008,23.04.2008
1990-1994,Lützelflüh,Crop cultivation,cadmium,0.19,-,1993,26.04.1993
2000-2004,Lützelflüh,Crop cultivation,cadmium,0.2,-,2003,03.06.2003
1985-1989,Orbe,Deciduous forest,cadmium,0.1,-,1989,05.07.1989
1990-1994,Orbe,Deciduous forest,cadmium,0.09,-,1994,27.09.1994
1985-1989,Bettlach,Deciduous forest,cadmium,0.31,-,1988,22.06.1988
1985-1989,Zuzwil (BE),Crop cultivation,cadmium,0.17,-,1988,18.04.1988
1995-1999,Cornol,Crop cultivation,cadmium,0.19,-,1998,21.10.1998
1990-1994,Bettlach,Deciduous forest,cadmium,0.34,-,1993,18.08.1993
2005-2009,Bettlach,Deciduous forest,cadmium,0.33,-,2008,18.06.2008
2000-2004,Bettlach,Deciduous forest,cadmium,0.34,-,2003,30.09.2003
2000-2004,Niederlenz,Deciduous forest,cadmium,0.26,-,2004,05.10.2004
